id_producto,mes_ano,costo_elaboracion
1,2024-01,113.1
1,2024-02,113.1
1,2024-03,113.1
1,2024-04,113.1
1,2024-05,113.1
1,2024-06,113.1
1,2024-07,113.1
1,2024-08,113.1
1,2024-09,113.1
1,2024-10,113.1
1,2024-11,113.1
1,2024-12,113.1
1,2025-01,113.1
1,2025-02,113.1
1,2025-03,113.1
1,2025-04,113.1
1,2025-05,113.1
1,2025-06,113.1
1,2025-07,113.1
1,2025-08,113.1
1,2025-09,113.1
1,2025-10,113.1
1,2025-11,113.1
1,2025-12,113.1
2,2024-01,104.98
2,2024-02,95.84
2,2024-03,93.51
2,2024-04,98.79
2,2024-05,97.44
2,2024-06,115.21
2,2024-07,100.5
2,2024-08,113.17
2,2024-09,95.07
2,2024-10,112.39
2,2024-11,88.42
2,2024-12,97.88
2,2025-01,115.84
2,2025-02,98.23
2,2025-03,103.9
2,2025-04,91.73
2,2025-05,112.91
2,2025-06,97.73
2,2025-07,91.82
2,2025-08,95.27
2,2025-09,116.13
2,2025-10,89.71
2,2025-11,110.28
2,2025-12,90.76
3,2024-01,122.8
3,2024-02,98.52
3,2024-03,110.46
3,2024-04,128.65
3,2024-05,122.75
3,2024-06,102.77
3,2024-07,131.62
3,2024-08,125.57
3,2024-09,112.86
3,2024-10,116.35
3,2024-11,120.81
3,2024-12,120.09
3,2025-01,118.24
3,2025-02,119.96
3,2025-03,125.29
3,2025-04,112.8
3,2025-05,123.38
3,2025-06,113.26
3,2025-07,125.24
3,2025-08,119.03
3,2025-09,127.45
3,2025-10,120.4
3,2025-11,121.73
3,2025-12,119.01
4,2024-01,93.02
4,2024-02,94.51
4,2024-03,91.0
4,2024-04,92.33
4,2024-05,81.93
4,2024-06,97.34
4,2024-07,100.91
4,2024-08,105.17
4,2024-09,107.64
4,2024-10,81.91
4,2024-11,96.87
4,2024-12,86.56
4,2025-01,82.36
4,2025-02,89.79
4,2025-03,95.37
4,2025-04,83.45
4,2025-05,97.74
4,2025-06,91.37
4,2025-07,81.69
4,2025-08,84.83
4,2025-09,106.23
4,2025-10,100.34
4,2025-11,85.14
4,2025-12,105.75
5,2024-01,119.58
5,2024-02,115.11
5,2024-03,114.41
5,2024-04,105.32
5,2024-05,103.79
5,2024-06,92.72
5,2024-07,100.46
5,2024-08,97.68
5,2024-09,119.16
5,2024-10,117.22
5,2024-11,104.63
5,2024-12,91.07
5,2025-01,113.33
5,2025-02,117.24
5,2025-03,109.97
5,2025-04,93.41
5,2025-05,118.04
5,2025-06,110.12
5,2025-07,100.25
5,2025-08,103.3
5,2025-09,107.94
5,2025-10,114.05
5,2025-11,101.88
5,2025-12,113.71
6,2024-01,125.24
6,2024-02,125.3
6,2024-03,130.68
6,2024-04,127.85
6,2024-05,129.69
6,2024-06,135.94
6,2024-07,135.04
