id_encuesta,id_ticket,id_mesero,calificacion_servicio,comentario,sentimiento
1,4,15,4,"Buen servicio, todo rico",positivo
2,7,2,4,"Buen servicio, todo rico",positivo
3,8,2,5,"Excelente atención, volveré",positivo
4,9,16,3,Servicio regular,neutro
5,12,20,4,"Buen servicio, todo rico",positivo
6,16,19,2,La atención no fue agradable,negativo
7,17,19,2,La atención no fue agradable,negativo
8,18,13,4,"Buen servicio, todo rico",positivo
9,20,19,2,La atención no fue agradable,negativo
10,21,20,4,"Buen servicio, todo rico",positivo
11,24,16,3,Servicio regular,neutro
12,25,22,4,"Buen servicio, todo rico",positivo
13,26,16,3,Servicio regular,neutro
14,27,3,3,Servicio regular,neutro
15,29,3,3,Servicio regular,neutro
16,30,7,4,"Buen servicio, todo rico",positivo
17,33,12,3,Servicio regular,neutro
18,35,10,3,Servicio regular,neutro
19,40,15,3,Servicio regular,neutro
20,41,16,4,"Buen servicio, todo rico",positivo
21,43,23,3,Servicio regular,neutro
22,46,6,4,"Buen servicio, todo rico",positivo
23,49,31,4,"Buen servicio, todo rico",positivo
24,52,33,3,Servicio regular,neutro
25,54,29,4,"Buen servicio, todo rico",positivo
26,57,29,5,"Excelente atención, volveré",positivo
27,62,39,4,"Buen servicio, todo rico",positivo
28,65,37,4,"Buen servicio, todo rico",positivo
29,67,25,4,"Buen servicio, todo rico",positivo
30,68,28,2,La atención no fue agradable,negativo
31,73,31,3,Servicio regular,neutro
32,75,34,5,"Excelente atención, volveré",positivo
33,76,35,4,"Buen servicio, todo rico",positivo
34,77,26,5,"Excelente atención, volveré",positivo
35,80,48,3,Servicio regular,neutro
36,81,44,4,"Buen servicio, todo rico",positivo
37,83,47,4,"Buen servicio, todo rico",positivo
38,85,48,3,Servicio regular,neutro
39,86,47,4,"Buen servicio, todo rico",positivo
40,91,48,4,"Buen servicio, todo rico",positivo
41,93,41,3,Servicio regular,neutro
42,94,44,4,"Buen servicio, todo rico",positivo
43,97,14,3,Servicio regular,neutro
44,98,15,3,Servicio regular,neutro
45,100,2,4,"Buen servicio, todo rico",positivo
46,102,2,4,"Buen servicio, todo rico",positivo
47,103,2,4,"Buen servicio, todo rico",positivo
48,104,24,3,Servicio regular,neutro
49,106,1,3,Servicio regular,neutro
50,107,9,3,Servicio regular,neutro
51,109,24,4,"Buen servicio, todo rico",positivo
52,110,11,3,Servicio regular,neutro
53,111,7,3,Servicio regular,neutro
54,117,17,3,Servicio regular,neutro
55,121,12,3,Servicio regular,neutro
56,125,18,5,"Excelente atención, volveré",positivo
57,131,18,4,"Buen servicio, todo rico",positivo
58,132,17,4,"Buen servicio, todo rico",positivo
59,133,7,3,Servicio regular,neutro
60,135,16,3,Servicio regular,neutro
61,141,8,3,Servicio regular,neutro
62,145,19,2,La atención no fue agradable,negativo
63,146,5,4,"Buen servicio, todo rico",positivo
64,152,25,4,"Buen servicio, todo rico",positivo
65,153,39,4,"Buen servicio, todo rico",positivo
66,154,31,3,Servicio regular,neutro
67,158,36,3,Servicio regular,neutro
68,161,30,4,"Buen servicio, todo rico",positivo
69,163,28,3,Servicio regular,neutro
70,165,25,4,"Buen servicio, todo rico",positivo
71,167,30,3,Servicio regular,neutro
72,172,32,4,"Buen servicio, todo rico",positivo
73,174,27,5,"Excelente atención, volveré",positivo
74,176,32,4,"Buen servicio, todo rico",positivo
75,178,34,4,"Buen servicio, todo rico",positivo
76,181,26,4,"Buen servicio, todo rico",positivo
