mes_ano,id_sucursal,meta_ventas,meta_roi_promedio,meta_venta_bebidas,meta_ticket_promedio
2024-01,S1,1570811.19,0.6,518367.69,707.02
2024-01,S2,1045570.11,0.6,345038.14,679.37
2024-01,S3,605440.65,0.6,199795.41,747.25
2024-02,S1,1543818.06,0.6,509459.96,694.45
2024-02,S2,934720.32,0.6,308457.71,670.83
2024-02,S3,555740.59,0.6,183394.39,721.35
2024-03,S1,2387085.43,0.6,787738.19,695.62
2024-03,S2,1521077.01,0.6,501955.41,673.58
2024-03,S3,863076.55,0.6,284815.26,739.88
2024-04,S1,2214163.72,0.6,730674.03,701.79
2024-04,S2,1443101.49,0.6,476223.49,681.48
2024-04,S3,855049.85,0.6,282166.45,759.02
2024-05,S1,2105378.75,0.6,694774.99,688.06
2024-05,S2,1339759.14,0.6,442120.52,675.28
2024-05,S3,786687.34,0.6,259606.82,726.73
2024-06,S1,1770725.78,0.6,584339.51,699.65
2024-06,S2,1160944.04,0.6,383111.53,668.36
2024-06,S3,658467.59,0.6,217294.3,741.1
2024-07,S1,1904276.56,0.6,628411.26,700.02
2024-07,S2,1134964.54,0.6,374538.3,673.19
2024-07,S3,697236.83,0.6,230088.15,731.3
2024-08,S1,1903195.05,0.6,628054.37,713.0
2024-08,S2,1215793.93,0.6,401212.0,699.68
2024-08,S3,669419.8,0.6,220908.53,739.72
2024-09,S1,1814935.95,0.6,598928.86,719.74
2024-09,S2,1140474.19,0.6,376356.48,703.7
2024-09,S3,669420.99,0.6,220908.93,760.58
2024-10,S1,1672717.76,0.6,551996.86,694.17
2024-10,S2,1112558.99,0.6,367144.47,684.11
2024-10,S3,671972.25,0.6,221750.84,749.22
2024-11,S1,1769136.16,0.6,583814.93,695.85
2024-11,S2,1130716.77,0.6,373136.53,670.28
2024-11,S3,743744.36,0.6,245435.64,741.35
2024-12,S1,2247691.75,0.6,741738.28,708.14
2024-12,S2,1486379.95,0.6,490505.38,693.53
2024-12,S3,957518.55,0.6,315981.12,769.77
2025-01,S1,2584410.21,0.6,852855.37,719.51
2025-01,S2,1648070.0,0.6,543863.1,697.71
2025-01,S3,994125.98,0.6,328061.57,778.57
2025-02,S1,2363419.8,0.6,779928.53,743.24
2025-02,S2,1508127.67,0.6,497682.13,713.46
2025-02,S3,872425.63,0.6,287900.46,777.3
2025-03,S1,3689088.84,0.6,1217399.32,742.13
2025-03,S2,2396322.26,0.6,790786.35,716.9
2025-03,S3,1425218.31,0.6,470322.04,782.99
2025-04,S1,3497750.47,0.6,1154257.66,744.56
2025-04,S2,2343262.51,0.6,773276.63,731.93
2025-04,S3,1281487.89,0.6,422891.0,780.32
2025-05,S1,3321348.51,0.6,1096045.01,727.7
2025-05,S2,2112498.96,0.6,697124.66,716.36
2025-05,S3,1226871.2,0.6,404867.49,771.44
2025-06,S1,3047219.92,0.6,1005582.57,742.57
2025-06,S2,2041100.25,0.6,673563.08,722.51
2025-06,S3,1193666.54,0.6,393909.96,788.92
2025-07,S1,2860834.62,0.6,944075.42,742.08
2025-07,S2,1844307.11,0.6,608621.34,714.66
2025-07,S3,1057177.41,0.6,348868.55,779.73
2025-08,S1,2922923.98,0.6,964564.91,737.02
2025-08,S2,1845888.43,0.6,609143.18,704.79
2025-08,S3,1132710.46,0.6,373794.45,790.58
2025-09,S1,2468891.21,0.6,814734.1,726.7
2025-09,S2,1596207.7,0.6,526748.54,714.99
2025-09,S3,894014.3,0.6,295024.72,767.64
2025-10,S1,2788266.08,0.6,920127.81,726.67
2025-10,S2,1704096.73,0.6,562351.92,705.12
2025-10,S3,1025063.44,0.6,338270.94,780.52
2025-11,S1,2995086.75,0.6,988378.63,724.72
2025-11,S2,1910769.17,0.6,630553.82,706.6
2025-11,S3,1149970.37,0.6,379490.22,779.97
2025-12,S1,3259568.97,0.6,1075657.76,735.12
2025-12,S2,2213335.64,0.6,730400.76,716.04
2025-12,S3,1294428.1,0.6,427161.27,771.96
